DATE,MHIAZ04013A052NCEN
1989-01-01,30746
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,33916
1994-01-01,.
1995-01-01,37583
1996-01-01,.
1997-01-01,40134
1998-01-01,42192
1999-01-01,44054
2000-01-01,47024
2001-01-01,45921
2002-01-01,46038
2003-01-01,46376
2004-01-01,48304
2005-01-01,48752
2006-01-01,52522
2007-01-01,54733
2008-01-01,56511
2009-01-01,53284
2010-01-01,50424
2011-01-01,50785
2012-01-01,51442
2013-01-01,52066
2014-01-01,53929
2015-01-01,56017
2016-01-01,58742
2017-01-01,62221
2018-01-01,65234
2019-01-01,68634
2020-01-01,71799
2021-01-01,76230
