DATE,MHIWA53033A052NCEN
1989-01-01,37030
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,40330
1994-01-01,.
1995-01-01,44776
1996-01-01,.
1997-01-01,51300
1998-01-01,52435
1999-01-01,52893
2000-01-01,55158
2001-01-01,53982
2002-01-01,53644
2003-01-01,53541
2004-01-01,55969
2005-01-01,58351
2006-01-01,63291
2007-01-01,66969
2008-01-01,70091
2009-01-01,67706
2010-01-01,66147
2011-01-01,68596
2012-01-01,68944
2013-01-01,71779
2014-01-01,75738
2015-01-01,81816
2016-01-01,85907
2017-01-01,89519
2018-01-01,94822
2019-01-01,102338
2020-01-01,102620
2021-01-01,110351
